project_name,seq_num,template,charge_type_1,charge_start_soc,charge_current_param_1,charge_current_param_2,charge_current_param_3,charge_current_param_4,charge_soc_param_1,charge_soc_param_2,charge_voltage_offset_1,charge_fast_soc_limit,charge_cutoff_voltage,charge_constant_voltage_time,charge_rest_time,discharge_constant_current,discharge_cutoff_voltage,discharge_rest_time,cell_temperature_nominal,cell_type,capacity_nominal,diagnostic_type,diagnostic_parameter_set,diagnostic_start_cycle,diagnostic_interval
RapidC,137,diagnosticV4.000,step,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21703,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,138,diagnosticV4.000,step,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21704,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,139,diagnosticV4.000,step,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21705,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,140,diagnosticV4.000,smooth,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21701,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,141,diagnosticV4.000,smooth,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21702,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,142,diagnosticV4.000,smooth,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21703,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,143,diagnosticV4.000,smooth,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21704,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,144,diagnosticV4.000,smooth,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21705,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,145,diagnosticV4.000,step,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21701,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,146,diagnosticV4.000,step,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21702,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,147,diagnosticV4.000,step,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21703,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,148,diagnosticV4.000,step,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21704,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,149,diagnosticV4.000,step,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21705,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,150,diagnosticV4.000,smooth,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21701,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,151,diagnosticV4.000,smooth,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21702,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,152,diagnosticV4.000,smooth,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21703,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,153,diagnosticV4.000,smooth,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21704,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,154,diagnosticV4.000,smooth,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21705,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,155,diagnosticV4.000,step,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21701,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,156,diagnosticV4.000,step,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21702,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,157,diagnosticV4.000,step,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21703,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,158,diagnosticV4.000,step,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21704,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,159,diagnosticV4.000,step,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21705,4.84,HPPC+RPT,Tesla21700,30,100
